mode,N,ticks,threads,time_ms,std_time_ms,avg_flow,avg_stopped,speedup,efficiency
SEQUENTIAL,100000,500,1,1873.0,28.0,41658.114,58341.886,1.0,1.0
PARALLEL,100000,500,2,1358.6666666666667,2.081665999466133,41658.114,58341.886,1.3785574092247301,0.6892787046123651
PARALLEL,100000,500,4,1070.0,8.54400374531753,41658.114,58341.886,1.750467289719626,0.4376168224299065
PARALLEL,100000,500,8,996.0,2.0,41658.114,58341.886,1.8805220883534137,0.23506526104417672
PARALLEL,100000,500,10,1034.3333333333333,33.85754470326124,41658.114,58341.886,1.810828230744441,0.1810828230744441
