grid,mode,N,ticks,threads,reps,time_ms,std_time_ms,avg_flow,avg_stopped,speedup,efficiency
grids/huge.txt,SEQUENTIAL,500,500,1,5,13.0,7.314369419163897,224.17199999999997,275.828,1.0,1.0
grids/huge.txt,PARALLEL,500,500,1,5,18.6,4.9295030175464944,224.17199999999997,275.828,0.6989247311827956,0.6989247311827956
grids/huge.txt,PARALLEL,500,500,2,5,20.6,3.7815340802378072,224.17199999999997,275.828,0.6310679611650485,0.31553398058252424
grids/huge.txt,PARALLEL,500,500,4,5,27.0,2.449489742783178,224.17199999999997,275.828,0.48148148148148145,0.12037037037037036
grids/huge.txt,PARALLEL,500,500,8,5,39.0,0.0,224.17199999999997,275.828,0.3333333333333333,0.041666666666666664
grids/huge.txt,PARALLEL,500,500,10,5,52.4,22.154006409676782,224.17199999999997,275.828,0.2480916030534351,0.02480916030534351
grids/huge.txt,PARALLEL,500,500,16,5,59.8,1.3038404810405297,224.17199999999997,275.828,0.2173913043478261,0.013586956521739132
grids/huge.txt,SEQUENTIAL,1000,500,1,5,15.2,0.4472135954999579,343.626,656.374,1.0,1.0
grids/huge.txt,PARALLEL,1000,500,1,5,20.4,0.5477225575051661,343.626,656.374,0.7450980392156863,0.7450980392156863
grids/huge.txt,PARALLEL,1000,500,2,5,21.0,0.0,343.626,656.374,0.7238095238095238,0.3619047619047619
grids/huge.txt,PARALLEL,1000,500,4,5,27.0,2.7386127875258306,343.626,656.374,0.5629629629629629,0.14074074074074072
grids/huge.txt,PARALLEL,1000,500,8,5,41.0,4.0,343.626,656.374,0.37073170731707317,0.046341463414634146
grids/huge.txt,PARALLEL,1000,500,10,5,45.2,0.4472135954999579,343.626,656.374,0.33628318584070793,0.033628318584070796
grids/huge.txt,PARALLEL,1000,500,16,5,71.2,26.761913235043565,343.626,656.374,0.21348314606741572,0.013342696629213483
grids/huge.txt,SEQUENTIAL,1500,500,1,5,19.8,0.4472135954999579,440.90199999999993,1059.098,1.0,1.0
grids/huge.txt,PARALLEL,1500,500,1,5,27.8,0.4472135954999579,440.90199999999993,1059.098,0.7122302158273381,0.7122302158273381
grids/huge.txt,PARALLEL,1500,500,2,5,25.4,0.5477225575051661,440.90199999999993,1059.098,0.7795275590551182,0.3897637795275591
grids/huge.txt,PARALLEL,1500,500,4,5,30.0,0.0,440.90199999999993,1059.098,0.66,0.165
grids/huge.txt,PARALLEL,1500,500,8,5,43.8,0.8366600265340756,440.90199999999993,1059.098,0.452054794520548,0.0565068493150685
grids/huge.txt,PARALLEL,1500,500,10,5,47.8,0.4472135954999579,440.90199999999993,1059.098,0.41422594142259417,0.04142259414225942
grids/huge.txt,PARALLEL,1500,500,16,5,61.6,0.5477225575051661,440.90199999999993,1059.098,0.32142857142857145,0.020089285714285716
grids/huge.txt,SEQUENTIAL,2000,500,1,5,23.2,0.4472135954999579,500.61199999999997,1499.388,1.0,1.0
grids/huge.txt,PARALLEL,2000,500,1,5,32.0,1.0,500.61199999999997,1499.388,0.725,0.725
grids/huge.txt,PARALLEL,2000,500,2,5,29.0,0.0,500.61199999999997,1499.388,0.7999999999999999,0.39999999999999997
grids/huge.txt,PARALLEL,2000,500,4,5,32.0,0.0,500.61199999999997,1499.388,0.725,0.18125
grids/huge.txt,PARALLEL,2000,500,8,5,45.4,1.6733200530681511,500.61199999999997,1499.388,0.5110132158590308,0.06387665198237885
