grid,mode,N,ticks,threads,reps,time_ms,std_time_ms,avg_flow,avg_stopped,speedup,efficiency
grids/huge.txt,SEQUENTIAL,500,500,1,5,12.6,6.985699678629193,224.17199999999997,275.828,1.0,1.0
grids/huge.txt,PARALLEL,500,500,1,5,41.4,16.00937225502612,224.17199999999997,275.828,0.30434782608695654,0.30434782608695654
grids/huge.txt,PARALLEL,500,500,2,5,36.0,2.345207879911715,224.17199999999997,275.828,0.35,0.175
grids/huge.txt,PARALLEL,500,500,4,5,37.4,0.8944271909999159,224.17199999999997,275.828,0.33689839572192515,0.08422459893048129
grids/huge.txt,PARALLEL,500,500,8,5,35.2,3.0331501776206204,224.17199999999997,275.828,0.3579545454545454,0.04474431818181818
grids/huge.txt,PARALLEL,500,500,10,5,37.4,2.302172886644268,224.17199999999997,275.828,0.33689839572192515,0.033689839572192515
grids/huge.txt,PARALLEL,500,500,16,5,39.8,0.8366600265340756,224.17199999999997,275.828,0.31658291457286436,0.019786432160804023
grids/huge.txt,SEQUENTIAL,1000,500,1,5,14.8,0.4472135954999579,343.626,656.374,1.0,1.0
grids/huge.txt,PARALLEL,1000,500,1,5,37.0,0.7071067811865476,343.626,656.374,0.4,0.4
grids/huge.txt,PARALLEL,1000,500,2,5,38.4,0.8944271909999159,343.626,656.374,0.3854166666666667,0.19270833333333334
grids/huge.txt,PARALLEL,1000,500,4,5,41.0,0.0,343.626,656.374,0.3609756097560976,0.0902439024390244
grids/huge.txt,PARALLEL,1000,500,8,5,41.4,0.5477225575051661,343.626,656.374,0.35748792270531404,0.044685990338164255
grids/huge.txt,PARALLEL,1000,500,10,5,42.2,0.8366600265340756,343.626,656.374,0.35071090047393366,0.035071090047393366
grids/huge.txt,PARALLEL,1000,500,16,5,43.6,0.8944271909999159,343.626,656.374,0.3394495412844037,0.02121559633027523
grids/huge.txt,SEQUENTIAL,1500,500,1,5,20.0,0.0,440.90199999999993,1059.098,1.0,1.0
grids/huge.txt,PARALLEL,1500,500,1,5,44.0,0.7071067811865476,440.90199999999993,1059.098,0.45454545454545453,0.45454545454545453
grids/huge.txt,PARALLEL,1500,500,2,5,42.6,0.8944271909999159,440.90199999999993,1059.098,0.4694835680751174,0.2347417840375587
grids/huge.txt,PARALLEL,1500,500,4,5,44.8,0.8366600265340756,440.90199999999993,1059.098,0.44642857142857145,0.11160714285714286
grids/huge.txt,PARALLEL,1500,500,8,5,44.6,0.5477225575051661,440.90199999999993,1059.098,0.44843049327354256,0.05605381165919282
grids/huge.txt,PARALLEL,1500,500,10,5,45.6,1.140175425099138,440.90199999999993,1059.098,0.43859649122807015,0.043859649122807015
grids/huge.txt,PARALLEL,1500,500,16,5,47.6,0.8944271909999159,440.90199999999993,1059.098,0.42016806722689076,0.026260504201680673
grids/huge.txt,SEQUENTIAL,2000,500,1,5,24.0,0.0,500.61199999999997,1499.388,1.0,1.0
grids/huge.txt,PARALLEL,2000,500,1,5,48.6,0.5477225575051661,500.61199999999997,1499.388,0.49382716049382713,0.49382716049382713
grids/huge.txt,PARALLEL,2000,500,2,5,45.6,0.5477225575051661,500.61199999999997,1499.388,0.5263157894736842,0.2631578947368421
grids/huge.txt,PARALLEL,2000,500,4,5,47.0,0.0,500.61199999999997,1499.388,0.5106382978723404,0.1276595744680851
grids/huge.txt,PARALLEL,2000,500,8,5,47.6,0.5477225575051661,500.61199999999997,1499.388,0.5042016806722689,0.06302521008403361
grids/huge.txt,PARALLEL,2000,500,10,5,47.4,0.8944271909999159,500.61199999999997,1499.388,0.5063291139240507,0.05063291139240507
grids/huge.txt,PARALLEL,2000,500,16,5,49.4,0.8944271909999159,500.61199999999997,1499.388,0.4858299595141701,0.03036437246963563
grids/huge.txt,SEQUENTIAL,2500,500,1,5,28.0,0.0,548.808,1951.1919999999998,1.0,1.0
grids/huge.txt,PARALLEL,2500,500,1,5,51.8,0.4472135954999579,548.808,1951.1919999999998,0.5405405405405406,0.5405405405405406
grids/huge.txt,PARALLEL,2500,500,2,5,48.6,0.5477225575051661,548.808,1951.1919999999998,0.5761316872427983,0.28806584362139914
grids/huge.txt,PARALLEL,2500,500,4,5,50.6,1.341640786499874,548.808,1951.1919999999998,0.5533596837944664,0.1383399209486166
