tick,moved,stopped
0,32,1168
1,32,1168
2,25,1175
3,24,1176
4,23,1177
5,18,1182
6,17,1183
7,19,1181
8,17,1183
9,14,1186
10,21,1179
11,20,1180
12,20,1180
13,14,1186
14,15,1185
15,8,1192
16,8,1192
17,10,1190
18,7,1193
19,8,1192
20,14,1186
21,11,1189
22,13,1187
23,12,1188
24,12,1188
25,13,1187
26,15,1185
27,11,1189
28,11,1189
29,13,1187
30,18,1182
31,19,1181
32,16,1184
33,12,1188
34,11,1189
35,9,1191
36,7,1193
37,3,1197
38,3,1197
39,3,1197
40,13,1187
41,14,1186
42,16,1184
43,18,1182
44,19,1181
45,22,1178
46,22,1178
47,16,1184
48,18,1182
49,17,1183
50,19,1181
51,15,1185
52,17,1183
53,13,1187
54,9,1191
55,8,1192
56,9,1191
57,11,1189
58,11,1189
59,6,1194
60,11,1189
61,11,1189
62,12,1188
63,12,1188
64,11,1189
65,11,1189
66,11,1189
67,8,1192
68,8,1192
69,4,1196
70,9,1191
71,10,1190
72,10,1190
73,9,1191
74,9,1191
75,4,1196
76,4,1196
77,4,1196
78,4,1196
79,4,1196
80,10,1190
81,10,1190
82,12,1188
83,11,1189
84,11,1189
85,10,1190
86,9,1191
87,8,1192
88,6,1194
89,8,1192
90,10,1190
91,11,1189
92,11,1189
93,8,1192
94,10,1190
95,11,1189
96,6,1194
97,2,1198
98,3,1197
99,3,1197
100,12,1188
101,13,1187
102,12,1188
103,12,1188
104,13,1187
105,13,1187
106,12,1188
107,4,1196
108,5,1195
109,4,1196
110,6,1194
111,7,1193
112,8,1192
113,7,1193
114,8,1192
115,8,1192
116,5,1195
117,6,1194
118,3,1197
119,2,1198
120,7,1193
121,6,1194
122,6,1194
123,6,1194
124,6,1194
125,5,1195
126,5,1195
127,4,1196
128,4,1196
129,5,1195
130,6,1194
131,5,1195
132,5,1195
133,5,1195
134,5,1195
135,3,1197
136,4,1196
137,3,1197
138,3,1197
139,1,1199
140,6,1194
141,7,1193
142,6,1194
143,6,1194
144,6,1194
145,6,1194
146,7,1193
147,3,1197
148,3,1197
149,3,1197
150,5,1195
151,5,1195
152,6,1194
153,6,1194
154,4,1196
155,4,1196
156,5,1195
157,5,1195
158,5,1195
159,3,1197
160,2,1198
161,3,1197
162,2,1198
163,3,1197
164,3,1197
165,3,1197
166,3,1197
167,3,1197
168,5,1195
169,5,1195
170,8,1192
171,7,1193
172,6,1194
173,4,1196
174,6,1194
175,5,1195
176,4,1196
177,2,1198
178,1,1199
179,0,1200
180,4,1196
181,6,1194
182,5,1195
183,5,1195
184,6,1194
185,6,1194
186,6,1194
187,3,1197
188,3,1197
189,4,1196
190,3,1197
191,4,1196
192,5,1195
193,3,1197
194,2,1198
195,3,1197
196,1,1199
197,1,1199
198,0,1200
199,1,1199
