mode,N,ticks,threads,time_ms,std_time_ms,avg_flow,avg_stopped,speedup,efficiency
SEQUENTIAL,3000,2000,1,128.8,0.447213595499958,432.3245,2567.6755,1.0,1.0
PARALLEL,3000,2000,2,147.0,1.4142135623730951,432.3245,2567.6755,0.8761904761904763,0.43809523809523815
PARALLEL,3000,2000,4,156.4,5.770615218501404,432.3245,2567.6755,0.823529411764706,0.2058823529411765
PARALLEL,3000,2000,8,211.8,25.897876360813836,432.3245,2567.6755,0.6081208687440982,0.07601510859301228
PARALLEL,3000,2000,10,219.0,1.5811388300841898,432.3245,2567.6755,0.5881278538812786,0.05881278538812786
